tetra
conc*1000,e1,q1,e2,q2,e3,q3,e4,q4,e5,q5,e6,q6,e7,q7,e8,q8,e9,q9,e10,q10,e11,q11,e12,q12,e13,q13,e14,q14,e15,q15,e16,q16
0000,Cd,0.7126129999999993,Cd,0.7125920000000008,Cu,0.35982100000000017,Cu,0.35989000000000004,Cu,0.3599519999999998,Cu,0.3598809999999997,Ge,0.8464749999999999,Ge,0.8464830000000001,Se,-0.5696349999999999,Se,-0.5698090000000002,Se,-0.569807,Se,-0.5696519999999996,Se,-0.5696349999999999,Se,-0.5697910000000004,Se,-0.5698400000000001,Se,-0.5695399999999999
0125,Cd,0.7112590000000001,Cd,0.749568,Cu,0.35902300000000054,Cu,0.3949119999999997,Cu,0.35904500000000006,Cu,0.39490999999999943,Ge,0.9263919999999999,Ge,0.8500860000000001,Se,-0.571815,Se,-0.5680699999999996,Se,-0.5681570000000002,Se,-0.5680630000000004,Se,-0.5698660000000002,Se,-0.5732499999999998,Se,-0.573385,S,-0.752586
0250,Cd,0.7488709999999994,Cd,0.7490450000000006,Cu,0.3583259999999999,Cu,0.42789499999999947,Cu,0.35819700000000054,Cu,0.42810599999999965,Ge,0.9306350000000001,Ge,0.9306589999999999,Se,-0.5709010000000001,Se,-0.5705809999999998,Se,-0.5668749999999996,Se,-0.5667790000000004,Se,-0.5732759999999999,Se,-0.5732489999999997,S,-0.7548830000000004,S,-0.7551889999999997
0375,Cd,0.7866020000000002,Cd,0.7496019999999994,Cu,0.3577630000000003,Cu,0.4566510000000008,Cu,0.3578840000000003,Cu,0.4566960000000009,Ge,0.9357700000000002,Ge,1.015027,Se,-0.5688180000000003,Se,-0.5694059999999999,Se,-0.5693580000000003,Se,-0.5653420000000002,Se,-0.575196,S,-0.7554499999999997,S,-0.7552180000000002,S,-0.7572070000000002
0500,Cd,0.7879649999999998,Cd,0.7879389999999997,Cu,0.35749099999999956,Cu,0.48400900000000036,Cu,0.3574870000000008,Cu,0.48398500000000055,Ge,1.0213510000000001,Ge,1.020842,Se,-0.5677599999999998,Se,-0.5680350000000001,Se,-0.5680339999999999,Se,-0.5678039999999998,S,-0.757358,S,-0.7574670000000001,S,-0.7572260000000002,S,-0.7573829999999999
0625,Cd,0.8242720000000006,Cd,0.786054,Cu,0.39326100000000075,Cu,0.48375000000000057,Cu,0.39313600000000015,Cu,0.48370399999999947,Ge,1.0237919999999998,Ge,1.104615,Se,-0.5663109999999998,Se,-0.5720530000000004,Se,-0.5723229999999999,S,-0.7536620000000003,S,-0.7590779999999997,S,-0.7566800000000002,S,-0.756488,S,-0.7559899999999997
0750,Cd,0.8225470000000001,Cd,0.822559,Cu,0.42637000000000036,Cu,0.48362000000000016,Cu,0.42665500000000023,Cu,0.4835799999999999,Ge,1.1080199999999998,Ge,1.1082,Se,-0.5696490000000001,Se,-0.5698840000000001,S,-0.7568400000000004,S,-0.7569419999999996,S,-0.758527,S,-0.75833,S,-0.7558809999999996,S,-0.755496
0875,Cd,0.8210180000000005,Cd,0.859909,Cu,0.4559730000000002,Cu,0.48372799999999927,Cu,0.455978,Cu,0.4836589999999994,Ge,1.196345,Ge,1.11254,Se,-0.5719839999999996,S,-0.7550980000000003,S,-0.7553470000000004,S,-0.758966,S,-0.7578050000000003,S,-0.7574759999999996,S,-0.7576780000000003,S,-0.7547969999999999
1000,Cd,0.8591499999999996,Cd,0.8592180000000003,Cu,0.48388899999999957,Cu,0.4838730000000009,Cu,0.48396100000000075,Cu,0.4838730000000009,Ge,1.201489,Ge,1.20148,S,-0.7571389999999996,S,-0.757066,S,-0.7570420000000002,S,-0.7572539999999996,S,-0.757206,S,-0.7570449999999997,S,-0.756996,S,-0.7571820000000002
ortho
conc*1000,e1,q1,e2,q2,e3,q3,e4,q4,e5,q5,e6,q6,e7,q7,e8,q8,e9,q9,e10,q10,e11,q11,e12,q12,e13,q13,e14,q14,e15,q15,e16,q16
0000,Cd,0.7126059999999992,Cd,0.7125699999999995,Cu,0.3642909999999997,Cu,0.3642260000000004,Cu,0.3642800000000008,Cu,0.36428199999999933,Ge,0.8534130000000002,Ge,0.853478,Se,-0.5798509999999997,Se,-0.566071,Se,-0.565861,Se,-0.5829409999999999,Se,-0.5793020000000002,Se,-0.5659919999999996,Se,-0.5660939999999997,Se,-0.5830339999999996
0125,Cd,0.7095749999999992,Cd,0.7497749999999996,Cu,0.36032200000000003,Cu,0.40307400000000015,Cu,0.4030579999999997,Cu,0.3604850000000006,Ge,0.9330850000000002,Ge,0.8576389999999998,Se,-0.5836189999999997,Se,-0.5656249999999998,Se,-0.5684800000000001,Se,-0.5836309999999996,Se,-0.5819369999999999,Se,-0.5684170000000002,Se,-0.5656359999999996,S,-0.7596670000000003
0250,Cd,0.7492380000000001,Cd,0.7453719999999997,Cu,0.35785100000000014,Cu,0.43735399999999913,Cu,0.3995759999999997,Cu,0.3988990000000001,Ge,1.014541,Ge,0.862565,Se,-0.5845330000000004,Se,-0.560778,Se,-0.5681900000000004,Se,-0.5851179999999996,Se,-0.5822900000000004,Se,-0.5721970000000001,S,-0.7495979999999998,S,-0.7626920000000004
0375,Cd,0.7482360000000003,Cd,0.7877449999999993,Cu,0.3547999999999991,Cu,0.47217799999999954,Cu,0.3985669999999999,Cu,0.43261200000000066,Ge,1.0205440000000001,Ge,0.941446,Se,-0.5873249999999999,Se,-0.5617229999999998,Se,-0.5653090000000001,Se,-0.5861029999999996,Se,-0.5863950000000004,S,-0.7530010000000003,S,-0.7539340000000001,S,-0.7623369999999996
0500,Cd,0.7461909999999996,Cd,0.8226720000000007,Cu,0.39466099999999926,Cu,0.4636370000000003,Cu,0.3938269999999999,Cu,0.46609699999999954,Ge,1.101718,Ge,0.947225,Se,-0.5858660000000002,Se,-0.5613910000000004,Se,-0.5690790000000003,Se,-0.5884879999999999,S,-0.7622910000000003,S,-0.7568619999999999,S,-0.7484159999999997,S,-0.7636339999999997
0625,Cd,0.7809430000000006,Cd,0.8194280000000003,Cu,0.4297520000000006,Cu,0.46016999999999975,Cu,0.38939000000000057,Cu,0.49575800000000037,Ge,1.1096460000000001,Ge,1.033535,Se,-0.5869929999999997,Se,-0.5633860000000004,Se,-0.5676100000000002,S,-0.7664070000000001,S,-0.7630629999999998,S,-0.7548370000000002,S,-0.7493939999999997,S,-0.7669319999999997
0750,Cd,0.7796090000000007,Cd,0.8616060000000001,Cu,0.46066500000000055,Cu,0.4578009999999999,Cu,0.4246560000000006,Cu,0.4946269999999995,Ge,1.1145930000000002,Ge,1.115237,Se,-0.5910000000000002,Se,-0.5637290000000004,S,-0.7517230000000001,S,-0.767328,S,-0.7646620000000004,S,-0.7536060000000004,S,-0.7498290000000001,S,-0.7669160000000002
0875,Cd,0.8221159999999994,Cd,0.8603090000000009,Cu,0.49262099999999975,Cu,0.45631799999999956,Cu,0.45632999999999946,Cu,0.4927039999999998,Ge,1.201771,Ge,1.123878,Se,-0.5925019999999996,S,-0.7485819999999999,S,-0.7542210000000003,S,-0.7698850000000004,S,-0.7671229999999998,S,-0.7542429999999998,S,-0.748583,S,-0.7709070000000002
1000,Cd,0.8588400000000007,Cd,0.8588369999999994,Cu,0.4894999999999996,Cu,0.48964499999999944,Cu,0.48954699999999995,Cu,0.4894639999999999,Ge,1.208822,Ge,1.2084869999999999,S,-0.7678560000000001,S,-0.753825,S,-0.7538289999999996,S,-0.7709669999999997,S,-0.7681259999999996,S,-0.7538660000000004,S,-0.753755,S,-0.770918
