dir,workDir,nrg,dnrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,sxx,syy,szz,sxy,syz,szx
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/initRel/x0000,x0000,-58.9406404,-0.0000003,2,226,5.846696811,5.846187131,11.25362797,89.99977082,89.99983981,90.00006367,384.6589483,-0.00317,0.02027,0.0387,-0.00528,0.00113,-0.00065
/gpfs/scratch/vkb5066/tetraTetra/elas/initRel/x0125,x0125,-59.65832061,0,1,226,5.807885053,5.807838826,11.17655682,89.8287421,89.82866397,89.9478927,376.9958152,0.01296,0.01296,0.01209,0.00778,-0.00212,0.0018
/gpfs/scratch/vkb5066/tetraTetra/elas/initRel/x0250,x0250,-60.38334913,0,1,226,5.767216183,5.777361464,11.09033086,89.62302083,89.99977611,89.9995887,369.5139767,0.01786,0.01997,0.01614,-0.00266,0.00049,-0.00014
/gpfs/scratch/vkb5066/tetraTetra/elas/initRel/x0375,x0375,-61.0925189,0,1,226,5.735309765,5.735332127,11.01575872,89.80627236,89.80604419,89.95304109,362.3470595,0.00882,0.00887,0.01318,-0.00128,0.0016,-0.00152
/gpfs/scratch/vkb5066/tetraTetra/elas/initRel/x0500,x0500,-61.81863152,0,1,226,5.699864241,5.69985869,10.93666826,89.99968111,89.99965633,89.99904583,355.3150797,0.00041,0.00067,0.00028,-0.00039,-0.00586,-0.00507
/gpfs/scratch/vkb5066/tetraTetra/elas/initRel/x0625,x0625,-62.59556638,0,1,226,5.659911513,5.659896316,10.86676621,89.82617773,89.82591351,89.88867422,348.1076803,0.01841,0.01837,0.01263,-0.00319,0.00429,-0.00518
/gpfs/scratch/vkb5066/tetraTetra/elas/initRel/x0750,x0750,-63.37989913,0,1,226,5.616290328,5.629186809,10.78870699,89.62118336,90.00006479,89.99871045,341.079104,0.02577,0.0369,0.03385,-0.00044,0.02618,-0.00005
/gpfs/scratch/vkb5066/tetraTetra/elas/initRel/x0875,x0875,-64.15275983,0,1,226,5.584982973,5.584993077,10.71860006,89.80595473,89.80558972,89.95456525,334.3316035,0.01279,0.01283,0.01307,-0.00069,0.00149,-0.00194
/gpfs/scratch/vkb5066/tetraTetra/elas/initRel/x1000,x1000,-64.94252179,0,1,226,5.549097273,5.549066192,10.64435311,89.99981067,90.00005493,89.99958207,327.7642002,0.01117,0.01175,0.01918,-0.00027,0.00014,0.00009
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/1/n0.001,n0.001,-58.94052819,-0.00000078,3,226,5.840850114,5.846187131,11.25362797,89.99977082,89.99983643,90.00007348,384.2742893,0.764,0.49352,0.4994,-0.00659,0.00157,-0.00058
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/1/n0.002,n0.002,-58.9402345,-0.00000137,5,226,5.835003417,5.846187131,11.25362797,89.99977082,89.99983305,90.00006874,383.8896304,1.53132,0.97609,0.97162,0.00523,0.00096,-0.00045
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/1/p0.001,p0.001,-58.94056741,-0.00000059,3,226,5.852543507,5.846187131,11.25362797,89.99977082,89.99984318,90.00005386,385.0436072,-0.7705,-0.45349,-0.42421,-0.00716,0.0026,-0.00034
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/1/p0.002,p0.002,-58.94031475,-0.00000056,10,226,5.858390204,5.846187131,11.25362797,89.99977082,89.99984655,90.00004407,385.4282662,-1.52375,-0.93472,-0.88257,-0.00135,0.00339,-0.00021
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/2/n0.001,n0.001,-58.94052248,-0.00000074,3,226,5.846696811,5.840340944,11.25362797,89.99976278,89.9998398,90.00005385,384.2742893,0.47061,0.78797,0.5,-0.0066,0.00175,-0.00071
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/2/n0.002,n0.002,-58.94022296,-0.00000124,5,226,5.846696811,5.834494757,11.25362797,89.99975473,89.9998398,90.00004403,383.8896304,0.95239,1.55514,0.97178,0.00476,0.00163,-0.00101
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/2/p0.001,p0.001,-58.94057264,-0.00000064,3,226,5.846696811,5.852033318,11.25362797,89.99977886,89.99983981,90.00007347,385.0436072,-0.47683,-0.74643,-0.42398,-0.00717,0.00231,-0.00016
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/2/p0.002,p0.002,-58.94032591,-0.00000056,10,226,5.846696811,5.857879505,11.25362797,89.99978688,89.99983981,90.00006878,385.4282662,-0.96016,-1.50005,-0.88398,-0.00123,0.0028,0.00023
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/3/n0.001,n0.001,-58.94040805,-0.00000166,3,226,5.846696811,5.846187131,11.24237434,89.99977886,89.99984318,90.00006367,384.2742893,0.44526,0.46866,0.73694,-0.00878,0.00127,-0.00068
