tetra
conc,bg,eF
0.0,1.1800000000000006,2.19610816
0.125,1.2445,2.30341585
0.25,1.3229999999999995,2.41018992
0.375,1.3849999999999998,2.51149538
0.5,1.4290000000000003,2.62364585
0.625,1.5105000000000004,2.74945954
0.75,1.6264999999999992,2.8537718
0.875,1.6925000000000003,2.96881885
1.0,1.7964999999999995,3.09048792
ortho
conc,bg,eF
0.0,1.25705,2.2016866
0.125,1.3170000000000002,2.31181998
0.25,1.3624999999999998,2.43224245
0.375,1.4465000000000003,2.53935534
0.5,1.553,2.62943221
0.625,1.6159999999999997,2.74362853
0.75,1.6800000000000006,2.88812509
0.875,1.7300000000000004,3.02117131
1.0,1.8495000000000008,3.1017127
