tetra
hole
x,extrA,extrB,extrC,extBandNum,0_m*/m0,0_uvA,0_uvB,0_uvC,1_m*/m0,1_uvA,1_uvB,1_uvC,2_m*/m0,2_uvA,2_uvB,2_uvC,3_m*/m0,3_uvA,3_uvB,3_uvC,4_m*/m0,4_uvA,4_uvB,4_uvC,5_m*/m0,5_uvA,5_uvB,5_uvC,6_m*/m0,6_uvA,6_uvB,6_uvC,7_m*/m0,7_uvA,7_uvB,7_uvC,8_m*/m0,8_uvA,8_uvB,8_uvC,9_m*/m0,9_uvA,9_uvB,9_uvC,10_m*/m0,10_uvA,10_uvB,10_uvC,11_m*/m0,11_uvA,11_uvB,11_uvC,12_m*/m0,12_uvA,12_uvB,12_uvC
0.0,0.0,0.0,0.0,62,-0.7700217378775492,1.000,-0.000,-0.000,-0.7695639132361957,-0.000,1.000,-0.000,-2.1065110051350877,0.707,0.707,-0.000,-2.1085586741937794,0.707,-0.707,0.000,-0.45935973710562195,-0.000,-0.000,1.000,-1.6711249722054147,0.849,-0.000,0.529,-1.6682299613857492,0.849,-0.000,-0.529,-1.672003763765489,-0.000,0.849,0.529,-1.6597904329700062,0.647,0.647,0.403,-1.6609726549819213,0.647,-0.647,-0.403,-1.6716665660555587,0.000,-0.849,0.529,-1.6611416720236847,0.647,-0.647,0.403,-1.659937740508022,0.647,0.647,-0.403
0.125,0.0,0.0,0.0,62,-0.757681094767381,1.000,-0.000,-0.001,-0.7576427062833976,-0.000,1.000,-0.001,-2.436840915194834,0.707,0.707,-0.002,-2.0605353958519865,-0.707,0.707,-0.000,-0.5262187553476875,-0.001,-0.001,1.000,-1.453476632256157,0.849,-0.001,0.529,-1.7987436900934621,-0.848,-0.000,0.530,-1.7891872268981135,-0.001,0.849,0.529,-1.8674261977218891,0.647,0.647,0.402,-1.593921832321053,-0.648,0.646,0.403,-1.4615658418712891,-0.000,-0.848,0.530,-1.717582411572352,0.646,-0.648,0.403,-1.8792140894095775,-0.647,-0.647,0.405
0.25,0.0,0.0,0.0,62,-0.7431103729364302,1.000,-0.000,-0.000,-0.7864437450923228,-0.000,1.000,-0.003,-2.4625045943847454,0.708,0.706,-0.002,-2.463585660855204,-0.708,0.706,-0.002,-0.5533765545443486,-0.000,-0.003,1.000,-1.6707134390585532,0.848,-0.002,0.529,-1.6705861046922568,-0.848,-0.002,0.529,-1.9446073974870182,-0.000,0.849,0.529,-1.8018942884265514,0.649,0.646,0.403,-1.8023648874844638,-0.649,0.646,0.403,-1.3835496881346927,0.000,-0.847,0.531,-2.0288730033692715,0.646,-0.646,0.405,-2.028335439331616,-0.646,-0.646,0.405
0.375,0.0,0.0,0.0,62,-0.8025929014834602,1.000,-0.000,-0.002,-0.8026219074176534,-0.000,1.000,-0.002,-2.8126962160712337,0.707,0.707,-0.002,-3.177161840777337,-0.707,0.707,-0.000,-0.6994698913801759,-0.002,-0.002,1.000,-1.600979917890733,0.848,-0.001,0.529,-1.9275839943675388,-0.848,-0.001,0.530,-1.915761512646702,-0.001,0.848,0.529,-2.1298431831442226,0.647,0.647,0.403,-2.1582557324965936,-0.648,0.646,0.404,-1.6106787090912642,-0.001,-0.848,0.530,-2.4969788666049837,0.646,-0.648,0.404,-2.145139942314818,-0.646,-0.646,0.406
0.5,0.0,0.0,0.0,62,-0.8076251888015478,1.000,-0.000,-0.000,-0.807581803614915,-0.000,1.000,-0.000,-3.4734950522501347,0.707,0.707,-0.000,-3.4692613702710724,-0.707,0.707,0.000,-0.7308686259169543,-0.000,-0.000,1.000,-1.8045618263413514,0.848,-0.000,0.530,-1.804601766223002,0.000,-0.848,-0.530,-1.8037127105037873,-0.848,0.000,0.530,-1.8039135907566175,-0.000,0.848,-0.530,-2.513117322100549,0.647,0.647,0.404,-2.510872486882825,-0.647,0.647,0.404,-2.5108306949660313,-0.647,0.647,-0.404,-2.5127846150578494,-0.647,-0.647,0.404
0.625,0.0,0.0,0.0,62,-0.7587188364848179,1.000,-0.001,-0.002,-0.7587051275146001,-0.001,1.000,-0.002,-3.6520101482766605,0.707,0.707,-0.002,-2.253805051249441,-0.707,0.707,-0.000,-0.7318195445169833,-0.002,-0.002,1.000,-1.55275819022038,0.848,-0.002,0.529,-1.8020910756598871,-0.848,0.000,0.531,-1.7925619828734363,-0.002,0.848,0.529,-2.6340944534259236,0.647,0.647,0.403,-1.8162617025392713,-0.647,0.646,0.404,-1.5611236349000943,0.000,-0.848,0.531,-1.890028405305887,0.646,-0.647,0.404,-2.650982228970098,-0.646,-0.646,0.406
0.75,0.0,0.0,0.0,62,-0.7692513911566082,1.000,-0.000,-0.000,-0.8318099282664781,-0.000,1.000,-0.003,-2.7977713890106566,0.708,0.706,-0.002,-2.796574837246333,-0.708,0.706,-0.002,-0.6662795342734308,-0.000,-0.003,1.000,-1.9612401221446307,0.848,-0.002,0.530,-1.9604505189064996,-0.848,-0.002,0.530,-2.138822340852273,-0.000,0.848,0.529,-2.0829646765813243,0.649,0.646,0.403,-2.0822240693946306,-0.649,0.646,0.403,-1.6585732709613927,0.000,-0.847,0.532,-2.2627092467386336,0.646,-0.646,0.406,-2.2633645880510307,-0.646,-0.646,0.406
0.875,0.0,0.0,0.0,62,-0.8136464901526264,1.000,-0.000,-0.002,-0.8136882614100256,-0.000,1.000,-0.002,-2.187486722575904,0.707,0.707,-0.002,-3.4440031864670604,-0.707,0.707,0.000,-0.7623224438410507,-0.002,-0.002,1.000,-1.8404113735579357,0.848,-0.001,0.530,-1.8523340019227619,0.001,0.848,-0.531,-2.08553962034922,-0.848,-0.001,0.531,-2.0720569430118903,0.001,-0.848,-0.530,-1.796730947526424,0.647,0.647,0.403,-1.8096955503930388,0.646,0.646,-0.406,-2.3954076710815277,-0.647,0.646,0.404,-2.6723344050346616,0.646,-0.647,0.404
1.0,0.0,0.0,0.0,62,-0.7903671138390521,1.000,-0.000,-0.000,-0.7902927945936549,-0.000,1.000,-0.000,-2.4129866451182034,0.707,0.707,-0.000,-2.4141853351509988,-0.707,0.707,-0.000,-0.5528494204185369,-0.000,-0.000,1.000,-1.9185852792859146,0.848,-0.000,0.530,-1.9160257200275386,-0.848,0.000,0.530,-1.9179684423570966,-0.000,0.848,0.530,-1.9518892928367277,0.647,0.647,0.405,-1.9525564401860362,-0.647,0.647,0.404,-1.917256430255632,0.000,-0.848,0.530,-1.9527742813006612,0.647,-0.647,0.405,-1.9520023270653735,-0.647,-0.647,0.405
elec
