tetra
x,B,G,Y,\nu,C_11-C_22,C_13-C_23,C_44-C_55,H,tDeb
0.0,56.64436971554291,23.264208350318054,61.38841845255413,0.3193747564531864,-0.016660737415037374,0.006247787870663046,0.015321940400212952,3.1044772251889188,232.6854613104141,
0.125,57.39646265299023,23.141762229655722,61.2001598941355,0.32228823558883235,0.26834780350672816,0.1818329614330949,-0.032481013402318126,3.028634360776901,236.41322698740908,
0.25,58.28867743928754,23.467426254580914,62.07206409933648,0.322515375694849,-0.8213437772815695,0.26851622887451043,-0.5260378580494631,3.0537070195542535,242.6767418807649,
0.375,59.86050440923307,24.088195704334126,63.717790802453315,0.32259368000295563,-0.1882364956560565,-0.0836957573595356,-0.01452832098275536,3.1089096734545443,250.9017215041697,
0.5,61.07322480918796,24.72636088295856,65.35862706863843,0.32163862240002494,-0.03736170642439163,-0.01191709821763709,-0.001288336191016981,3.1890107533414134,259.67674139496614,
0.625,63.41890035918515,26.41672937464439,69.58804003226186,0.3171206595138657,0.0808730494438521,0.07462675911322236,0.0016437587774476015,3.4516917056651297,274.36911851067384,
0.75,64.6419595371211,26.514159962599535,69.97524314981678,0.3195825032458651,0.7938563907939198,1.1028765672990275,-0.7831195333165368,3.400552624300435,281.64166685306617,
0.875,67.13577445813246,27.430229296391666,72.42669305347945,0.3201984619028847,-0.09447436401018194,-0.02224940104606077,-0.08848414209879252,3.4679628686005963,293.93486760762477,
1.0,68.63122739280246,27.990979498014536,73.92317814239348,0.3204821601122786,0.043295469527762975,0.10893699280424585,-0.022520632074147784,3.5108394279457587,305.2041818631599,
ortho
x,B,G,Y,\nu,C_11-C_22,C_13-C_23,C_44-C_55,H,tDeb
0.0,55.41408607401214,22.334856778986982,59.0686260310707,0.32234172387090204,20.20099426495112,-7.709197602073679,2.0075199015660417,2.952335037381127,228.09464876701782,
0.125,56.71476517604827,23.131265840947723,61.08873108379946,0.3204796379033045,21.829178062037073,-9.597996067680505,1.9826234056357563,3.0674903904771127,236.33867863874994,
0.25,56.83453938526034,23.096235549679182,61.02264518737199,0.3210517587620384,22.99659241412668,-9.631768024035885,1.1863002344568088,3.051596483072626,240.75210798141993,
0.375,58.27796233928749,23.68035995476494,62.56673422705867,0.3210680569589283,23.167699063843827,-8.564636255483414,1.4493611597984888,3.105673415843774,248.77319775918514,
0.5,60.92643686292762,24.79471188999975,65.49895249004327,0.3208250368188474,22.900469456880202,-9.677476101458367,2.4882774001599444,3.214075930425243,259.9681853584362,
0.625,62.10097918016808,25.25232875218989,66.71424127673414,0.32095225615476475,25.630116930895298,-9.23877073086988,1.4532676124838417,3.252977346415891,268.38221505694645,
0.75,62.778245600511084,26.030095099037183,68.6078644421012,0.31785658448552695,26.23990873899831,-8.526930514348578,1.9912719022145566,3.3980640703631457,279.00988502558135,
0.875,65.15515440046471,26.384794372058828,69.74050122570355,0.3216040315166886,26.62954061345954,-9.129013799601601,1.466930765946266,3.339840052021652,288.35405184378965,
1.0,68.00679129333804,27.421339332588886,72.51733266146003,0.3222791888811359,26.14444099213931,-9.276249448343961,2.016249855263162,3.415462044166287,302.1959851074584,
