dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,bg,group,aAvg,bAvg,cAvg,alphaAvg,betaAvg,gammaAvg,bgAvg,aDev,bDev,cDev,alphaDev,betaDev,gammaDev,bgDev,aMaxDev,bMaxDev,cMaxDev,alphaMaxDev,betaMaxDev,gammaMaxDev,bgMaxDev
/gpfs/scratch/vkb5066/consis/ortho/0000/1,1,-58.86581299,2,92,6.703490918,6.988735953,8.211205701,90.00985257,90.00981589,90.00962009,0.565297,1,6.691424252,6.976669287,8.199139034,89.99778591,89.99774922,89.99755343,0.550697,0.012066667,0.012066667,0.012066667,0.012066667,0.012066667,0.012066667,0.0146,0.012066667,0.012066667,0.012066667,0.012066667,0.012066667,0.012066667,0.0146
/gpfs/scratch/vkb5066/consis/ortho/0000/2,2,-58.86581299,2,92,6.685890918,6.971135953,8.193605701,89.99225257,89.99221589,89.99202009,0.543097,1,6.691424252,6.976669287,8.199139034,89.99778591,89.99774922,89.99755343,0.550697,0.005533333,0.005533333,0.005533333,0.005533333,0.005533333,0.005533333,0.0076,0.012066667,0.012066667,0.012066667,0.012066667,0.012066667,0.012066667,0.0146
/gpfs/scratch/vkb5066/consis/ortho/0000/3,3,-58.86581299,2,92,6.684890918,6.970135953,8.192605701,89.99125257,89.99121589,89.99102009,0.543697,1,6.691424252,6.976669287,8.199139034,89.99778591,89.99774922,89.99755343,0.550697,0.006533333,0.006533333,0.006533333,0.006533333,0.006533333,0.006533333,0.007,0.012066667,0.012066667,0.012066667,0.012066667,0.012066667,0.012066667,0.0146
/gpfs/scratch/vkb5066/consis/ortho/0125/1,1,-59.57983872,28,92,6.659260324,6.936486703,8.145099086,89.88047801,89.86031019,89.97302114,0.595454,2,6.661048272,6.929492235,8.15165946,89.92072754,89.90573061,89.96401155,0.583132,0.001787948,0.006994468,0.006560374,0.040249538,0.045420415,0.009009596,0.012322,0.007780608,0.011733282,0.017001506,0.088588758,0.103393463,0.009009596,0.022961
/gpfs/scratch/vkb5066/consis/ortho/0125/2,2,-59.57982462,26,92,6.655055611,6.934231048,8.141218328,89.87238832,89.84775756,89.96062613,0.560171,2,6.661048272,6.929492235,8.15165946,89.92072754,89.90573061,89.96401155,0.583132,0.005992661,0.004738814,0.010441132,0.04833922,0.057973048,0.003385414,0.022961,0.007780608,0.011733282,0.017001506,0.088588758,0.103393463,0.009009596,0.022961
/gpfs/scratch/vkb5066/consis/ortho/0125/3,3,-59.59056798,29,92,6.66882888,6.917758953,8.168660965,90.0093163,90.00912407,89.95838737,0.593771,2,6.661048272,6.929492235,8.15165946,89.92072754,89.90573061,89.96401155,0.583132,0.007780608,0.011733282,0.017001506,0.088588758,0.103393463,0.005624181,0.010639,0.007780608,0.011733282,0.017001506,0.088588758,0.103393463,0.009009596,0.022961
/gpfs/scratch/vkb5066/consis/ortho/0250/1,1,-60.35180651,27,92,6.623595487,6.836238814,8.10614139,89.97464676,89.98182774,89.9741295,0.640587,3,6.622091042,6.846981668,8.103685173,89.94853586,89.910106,89.96262929,0.631401667,0.001504445,0.010742854,0.002456218,0.026110906,0.071721734,0.011500211,0.009185333,0.008608891,0.015885708,0.010512435,0.057821812,0.149043467,0.028600422,0.023770667
/gpfs/scratch/vkb5066/consis/ortho/0250/2,2,-60.31298963,27,92,6.613482151,6.862867376,8.093172737,89.89071405,89.76106254,89.93402887,0.607631,3,6.622091042,6.846981668,8.103685173,89.94853586,89.910106,89.96262929,0.631401667,0.008608891,0.015885708,0.010512435,0.057821812,0.149043467,0.028600422,0.023770667,0.008608891,0.015885708,0.010512435,0.057821812,0.149043467,0.028600422,0.023770667
/gpfs/scratch/vkb5066/consis/ortho/0250/3,3,-60.35180651,27,92,6.629195487,6.841838814,8.11174139,89.98024676,89.98742774,89.9797295,0.645987,3,6.622091042,6.846981668,8.103685173,89.94853586,89.910106,89.96262929,0.631401667,0.007104445,0.005142854,0.008056218,0.031710906,0.077321734,0.017100211,0.014585333,0.008608891,0.015885708,0.010512435,0.057821812,0.149043467,0.028600422,0.023770667
/gpfs/scratch/vkb5066/consis/ortho/0375/1,1,-61.03145015,35,92,6.563739342,6.846976839,8.013121742,89.76505196,89.88660645,89.96021227,0.623196,4,6.568695643,6.839784238,8.029449437,89.87557625,89.78726699,89.89247733,0.618094,0.004956301,0.007192601,0.016327695,0.110524289,0.099339456,0.067734941,0.005102,0.013744111,0.015893705,0.016327695,0.110524289,0.131970408,0.102500069,0.033756
